uuid,Members,Answers,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Data class,Data type,_version:1,_order:1243
acc286cf-ccb7-4d9b-8de1-123a07f48deb,,,Prothèse:,Prosthesis:,Prothèse:,Prosthesis:,Misc,Text,,
faa8bd18-23b0-4988-9452-1a60094f50fa,,,"Si Autres, préciser",If other specify,"Si Autres, préciser",If other specify,Misc,Text,,
be020f8e-c76b-4b31-8bde-61fdee88304f,,,Site pour ALR:,Site for ALR:,Site pour ALR:,Site for ALR:,Misc,Text,,
b3bf8fa1-f5db-43a3-9478-a0db8ac1d3fd,,,Etat veineux:,Venous Condition:,Etat veineux:,Venous Condition:,Misc,Text,,
9b5f89cd-74f7-439b-abe8-5b39c5596496,OB:;TMD:;Mallamparti:;Tongue:;Nape:;Neck:;Dental Condition:;Prosthesis:;If other specify;Site for ALR:;Venous Condition:,,Intubabilité,Intubability,Intubabilité,Intubability,Misc,N/A,,
d55e2d43-86d2-4f6c-b9af-52a2a3f79767,RR value;SPO2 value(>97);Blood pressure value;Pulse value;WEIGHT;HEIGHT;BMI value;T°(C) value;Dyphnea (NYHA);CMI:;Conjunctiva:;General Condition:;Heart:;Lungs:;Limbs:;Abdomen:;Intubability,,IV.EXAMEN PHYSIQUE,IV.PHYSICAL EXAM,IV.EXAMEN PHYSIQUE,IV.PHYSICAL EXAM,Misc,N/A,,
df1b0b6a-5be1-4ccd-b443-5cafeed06a73,,,V.RESUMÉ-PROBLEMES POSÉ,V.SUMMARY-PROBLEMS ARISING,V.RESUMÉ-PROBLEMES POSÉ,V.SUMMARY-PROBLEMS ARISING,Misc,Text,,
18f6cfa6-1ad4-4038-9017-7c79d399a9b8,,,Altemeier:,Altemeier:,Altemeier:,Altemeier:,Misc,Text,,
72765f90-c656-4561-9961-fd92a052b06f,,,ASA:,ASA:,ASA:,ASA:,Misc,Text,,
30c2515f-fa9e-4f63-b6bc-27aa947f21f9,,,Technique:,Technique:,Technique:,Technique:,Misc,Text,,
6e56af4e-5851-478e-bde8-01c2168b204c,Altemeier:;ASA:;Technique:,,VI.CONCLUSION,VI.CONCLUSION,VI.CONCLUSION,VI.CONCLUSION,Misc,N/A,,
b7d63a41-9a98-42b5-b39a-e065fb435f50,,,Transfusion:,Transfusion:,Transfusion:,Transfusion:,Misc,Text,,
d86e727f-318b-4acd-af04-c4d3cc6beff9,,,Médicaments:,Medication:,Médicaments:,Medication:,Misc,Text,,
629ff751-19d0-4c05-a536-84e99a35845f,Transfusion:;Medication:;If other specify,,VII.PREPARATION,VII.PREPARATION,VII.PREPARATION,VII.PREPARATION,Misc,N/A,,
1ad236ea-aaa5-4d69-8bb0-e876faade823,,,Évènements:,Events:,Évènements:,Events:,Misc,Text,,
0dd5ceb2-9958-4f22-ba91-99ce4847ee54,,,Évaluation préparation:,Preparation Assessment:,Évaluation préparation:,Preparation Assessment:,Misc,Text,,
c3c463ef-f46f-4d98-b70e-9e1b49728b48,,,Prémédication:,Premedication:,Prémédication:,Premedication:,Misc,Text,,
21722420-6fdd-42af-8341-da1413168cd4,,,Jeûn pré-opératoire:,Pre-operative Fasting:,Jeûn pré-opératoire:,Pre-operative Fasting:,Misc,Text,,
445b6f8c-5205-4901-9ca1-4ddc2e97962c,Events:;Preparation Assessment:;Premedication:;Pre-operative Fasting:,,VIII.VISITE PRE-OPERATOIRE,VIII.PRE-OPERATIVE VISIT,VIII.VISITE PRE-OPERATOIRE,VIII.PRE-OPERATIVE VISIT,Misc,N/A,,
2e9624db-6c99-4067-9d36-523bba0344a7,Date;Service;Surgeon;Anesthesiologists;I.Patient identification;II.History-Background and Lifestyle;III.Assessments;IV.PHYSICAL EXAM;V.SUMMARY-PROBLEMS ARISING;VI.CONCLUSION;VII.PREPARATION;VIII.PRE-OPERATIVE VISIT,,Consultation pré-anesthésique,Pre-anesthesic consultation,Consultation pré-anesthésique,Pre-anesthesic consultation,Misc,N/A,,
